Listagem dos Municípios portugueses: websites e histórico de versões no Arquivo.pt - 15-06-2021,,,,,,,,,,,,,,,,
"Fonte: Associação Nacional de Municípios Portugueses, Portal Autárquico – Direção-Geral das Autarquias Locais",,,,,,,,,,,,,,,,
Distrito,Município,Endereço (URL) do Website - online na Web,"URL - endereço para histórico
 de versões no Arquivo.pt","Município com link para histórico de
versões no Arquivo.pt ",Municípios no Facebook (geralmente fora do âmbito das recolhas do Arquivo.pt),,,,,,,,,,,
BRAGA,Fafe,http://www.cm-fafe.pt,https://arquivo.pt/wayback/http://www.cm-fafe.pt,Fafe,https://www.facebook.com/municipiofafe/,,,,,,,,,,,
BRAGA,Guimarães,http://www.cm-guimaraes.pt,https://arquivo.pt/wayback/http://www.cm-guimaraes.pt,Guimarães,https://www.facebook.com/Municipio.Guimaraes/,,,,,,,,,,,
BRAGA,Póvoa de Lanhoso,http://www.mun-planhoso.pt/,https://arquivo.pt/wayback/http://www.mun-planhoso.pt/,Póvoa de Lanhoso,https://www.facebook.com/municipiodapovoadelanhoso/,,,,,,,,,,,
BRAGA,Terras de Bouro,http://www.cm-terrasdebouro.pt,https://arquivo.pt/wayback/http://www.cm-terrasdebouro.pt,Terras de Bouro,https://www.facebook.com/municipiodeterrasdebouro/,,,,,,,,,,,
BRAGA,Vieira do Minho,http://www.cm-vminho.pt,https://arquivo.pt/wayback/http://www.cm-vminho.pt,Vieira do Minho,https://www.facebook.com/vieiradominho.municipio/,,,,,,,,,,,
BRAGA,Vila Nova de Famalicão,http://www.vilanovadefamalicao.org,https://arquivo.pt/wayback/http://www.vilanovadefamalicao.org,Vila Nova de Famalicão,https://www.facebook.com/municipiodevnfamalicao/,,,,,,,,,,,
BRAGA,Vila Verde,http://www.cm-vilaverde.pt,https://arquivo.pt/wayback/http://www.cm-vilaverde.pt,Vila Verde,https://www.facebook.com/municipiovilaverde/,,,,,,,,,,,
BRAGA,Vizela,http://www.cm-vizela.pt,https://arquivo.pt/wayback/http://www.cm-vizela.pt,Vizela,https://www.facebook.com/CMVizela/,,,,,,,,,,,
BRAGANÇA,Alfândega da Fé,http://www.cm-alfandegadafe.pt,https://arquivo.pt/wayback/http://www.cm-alfandegadafe.pt,Alfândega da Fé,https://www.facebook.com/municipioalfandegadafe/,,,,,,,,,,,
BRAGANÇA,Bragança,http://www.cm-braganca.pt,https://arquivo.pt/wayback/http://www.cm-braganca.pt,Bragança,https://www.facebook.com/municipiobraganca/,,,,,,,,,,,
BRAGANÇA,Carrazeda de Ansiães,http://www.cm-carrazedadeansiaes.pt,https://arquivo.pt/wayback/http://www.cm-carrazedadeansiaes.pt,Carrazeda de Ansiães,https://www.facebook.com/municipio.carrazedadeansiaes/,,,,,,,,,,,
BRAGANÇA,Freixo de Espada à Cinta,http://www.cm-freixoespadacinta.pt,https://arquivo.pt/wayback/http://www.cm-freixoespadacinta.pt,Freixo de Espada à Cinta,https://www.facebook.com/municipiofreixoespadacinta/,,,,,,,,,,,
BRAGANÇA,Macedo de Cavaleiros,http://www.cm-macedodecavaleiros.pt,https://arquivo.pt/wayback/http://www.cm-macedodecavaleiros.pt,Macedo de Cavaleiros,https://www.facebook.com/cm.macedodecavaleiros/,,,,,,,,,,,
BRAGANÇA,Miranda do Douro,http://www.cm-mdouro.pt/,https://arquivo.pt/wayback/http://www.cm-mdouro.pt/,Miranda do Douro,https://www.facebook.com/MunicipioMirandadoDouro/,,,,,,,,,,,
